jamaat,jamiat,arabic_jamaat
MORDI,DOHAD,"   موردي "
PETLAWAD,DOHAD,ثثيتلاود
RAJLA,DOHAD,راجلا
RANDHIKPUR,DOHAD," رندهيكثثور"
RANGPUR,DOHAD,"   رنككثثور "
SAJANGARH,DOHAD," سجن ككرٌهـ"
SANTRAMPUR,DOHAD," سنترامثثور"
SELONA,DOHAD,"   سيلونا "
SELWA,DOHAD,"   سيلوا "
SHIVRAJPUR,DOHAD,"   شيئراجثثور"
SHURWA,DOHAD,"  شوروا "
SODI,DOHAD,"  سودي "
SUKHSAR,DOHAD," سكهسر"
VAAROTH,DOHAD,"   واروتهـ"
VIRPUR,DOHAD,Virpur
WAGHJIPUR,DOHAD,"   واككهجي ثثور "
"SHUJAI BAUG (DOHAD)",DOHAD,"شجاعي محلة (دوحد)"
"QUTBI MOHALLA (DOHAD)",DOHAD,"قطبي محلة - دوحد  "
"EZZY MOHALLA(DOHAD)",DOHAD,"عزي محلة (دوحد)"
INDORE,INDORE,اندور
NOORANINAGAR,INDORE,"نوراني نككر (اندور)"
BARWANI,INDORE,برواني
"MASAKIN SAIFIYAH (INDORE)",INDORE,"مساكن سيفية  (اندور)"
"SAIFEE MOHALLAH (INDORE)",INDORE," سيفي محلة (اندور)"
KHERGONE,INDORE,خيرگون
"HUSAINI MOHALLA (INDORE)",INDORE,"حسيني محلة(اندور)"
"VAJIHI MOHALLA (INDORE)",INDORE,"وجيظظي محلة (اندور)"
"AMMAR NAGAR ( NOORANI NAGAR)",INDORE,0
KUKSHI,INDORE,كوكشي
"HASANJI NAGAR (INDORE)",INDORE,"حسنجي نككر ( اندور)"
"MHOW CAMP",INDORE,"مهو كيمپ"
"SIYAGANJ (INDORE)",INDORE," سياگنج  (اندور)"
DHAR,INDORE,دهار
RAO,INDORE,راؤ
MANDLESHWAR,INDORE,مندليشور
"BADRI MOHALLA (INDORE)",INDORE,0
"HAKIMI MOHALLA (INDORE)",INDORE,"حكيمي محلة -  اندور"
MAHESHWAR,INDORE,محصر
RAJGARH,INDORE,راجككرهـ
BARWAHA,INDORE,برواها
SANAVAD,INDORE,سناود
"MUFADDAL NAGAR (INDORE)",INDORE,"مفضل نككر (اندور)"
SENDHWA,INDORE,"سيندهوا "
BADNAWAR,INDORE,بدناور
MANAWAR,INDORE,مناور
RAJODE,INDORE,راجود
AMJHERA,INDORE,امجهيرا
DAHI,INDORE,دهي
DHARAMPURI,INDORE,دهرمثثوري
KASRAWAD,INDORE,"كسراود "
BETMA,INDORE,بيطمه
"HAIDARY COLONY INDORE",INDORE,"حيدري كولوني- اندور   "
AAMKHOT,INDORE,اْمكهوت
ANJAD,INDORE,​انجار
ANJANBERA,INDORE," انجنبيرا "
BABLI,INDORE," بابلي "
BAGLI,INDORE,باككلي
BAKANER,INDORE," باكنير "
BAKHATGARH,INDORE,"بخت ككرٌهـ"
BARDA,INDORE,بردا
BARLEWA,INDORE,بارليوا
BAUG,INDORE,باغ
BHAGAON,INDORE,"بهاككا ؤطط "
"BHANPURA (MANAWAR)",INDORE," بهانثثورا"
BHAURIA,INDORE,بهؤريا
BORLAI,INDORE," بورلائي "
DAWANA,INDORE,"دووارا "
DEPALPUR,INDORE,ديثثالثثور
DESWALIA,INDORE,"ديس واليا"
DHAMNOD,INDORE,"دهامنود "
DHARAMRAI,INDORE,"دهرم رائي"
DUNGAWA,INDORE,دونككا
GANDHWANI,INDORE," ككندهواني "
GOJRI,INDORE,ككوجري
HATPIPLIYA,INDORE," هاتثثيثثليا "
HILADAR,INDORE,هيلادر
JALWANIA,INDORE,جلوانيه
JODHPUR,INDORE,جودهثثور
KAKARWAS,INDORE,كـكرواس
KALIBAVRII,INDORE,"كالي باؤري "
KALUWANI,INDORE," كالوواني "
KAMLAPUR,INDORE,كملاثثور
KARONI,INDORE," كاروني "
KATABARI,INDORE,كاتاباري
KESOOR,INDORE,كيسور
KESUVI,INDORE,كيسووي
KHALGHAT,INDORE,0
KHATTALI,INDORE,كهتّاَلي
KUHA,INDORE,كؤها
KUMPEEL,INDORE,كمثثيل
LOHARI,INDORE,لوهاري
MANPUR,INDORE,مانثثور
MINDA,INDORE,مندا
NAGALWARI,INDORE,نغلواري
"NARMADA NAGAR",INDORE,نرمدانككر
NASIRPUR,INDORE,نسرثثور
NENODA,INDORE,نينودا
NIVALA,INDORE,"نيوالي "
OJHAR,INDORE,"اوجهر "
OLDA,INDORE," اولدا "
PADIYAL,INDORE,ثثديال
PALASI,INDORE,ثثلاسي
PALSOD,INDORE,"ثثلسود "
PATI,INDORE,"ثثاتي "
RAJPUR,INDORE,"راجثثور "
SANDAR,INDORE," سندر "
SAVER,INDORE,SAVER
SELKUWWA,INDORE,سيلكُوّوا
SELWAD,INDORE,"سيلواد "
SINGHANA,INDORE,سنككهانا
TALANPUR,INDORE,تلنثثور
TALWADI,INDORE,تلوادي
TALWARA,INDORE,تلوارا
TALWARADEEP,INDORE,"تلواراديثث "
TANDA,INDORE,تاندا
THEKRI,INDORE,"تهيكري "
UMARBAN,INDORE," امربند "
VALPUR,INDORE,والثثور
DUBAI,KHALEEJ,دبي
SHARJAH,KHALEEJ,شارقة
MUSCAT,KHALEEJ,مسقط
"ABU DHABI",KHALEEJ,"ابو ظبي"
BAHRAIN,KHALEEJ,بحرين
CAIRO,KHALEEJ,"المعزية القاهرة"
AJMAN,KHALEEJ,عجمان
DOHA,KHALEEJ,دوحا
RASULKHAIMA,KHALEEJ,"رأس الخيمة "
"AL NAJAF UL ASHRAF",KHALEEJ," النجف الاشرف"
ALAIN,KHALEEJ,العين
DAMMAM,KHALEEJ,0
FUJAIRA,KHALEEJ,فجيرة
"HAKIMI MOHALLAH - DUBAI",KHALEEJ,"حكيمي محلة - دبي"
ISTANBUL,KHALEEJ,0
JEDDAH,KHALEEJ,0
JUBAIL,KHALEEJ,0
"KARBALA MOALLA",KHALEEJ,"كربلاء المعلى"
MADINA,KHALEEJ,0
"MAKKAH MUKARRAMA",KHALEEJ,0
"MOHAMMEDI + BURHANI MOHALLA (DUBAI)",KHALEEJ,"محمدي برهاني محلة - دبي"
RIYADH,KHALEEJ,رياض
"SAIFEE + TAHERI MOHALLA (DUBAI)",KHALEEJ,"سيفي طاهري محلة - دبي"
SALALA,KHALEEJ,سلالة
SOHAR,KHALEEJ,سوهار
SURAT,SURAT,سورت
BARODA,SURAT,بروده
"EZZY MOHALLAH (SURAT)",SURAT,0
BHARUCH,SURAT,بهروچ
UDHNA,SURAT,اُدهنا
"VAJIHI MOHALLAH (SURAT)",SURAT,"وجيظظي محلة ( سورت)"
VAPI,SURAT,واپي
"Burhani Centenary Park (BUSTAAN)",SURAT,"برهاني سينضضينري ثثارك(بستان)"
"CHHOTA UDAIPUR",SURAT,"اديثثور صغير"
PARDI,SURAT," ثثاردي"
NAVSARI,SURAT,نؤساري
DAMMAN,SURAT,دمن
ANKLESHWAR,SURAT,انكليشور
ANAND,SURAT,آنند
KHERGAM,SURAT,خيرككام
"MANDVI SAGIR",SURAT,"ماندوي صغير"
BARDOLI,SURAT," باردولي "
KHATALWARA,SURAT,كهضضلوارٌه
AHWA,SURAT,"  اْهوا"
ANKLAV,SURAT," انكلاؤ"
"BADRI MOHALLA (BARODA)",SURAT," بدري محلة  (بروده) "
BILIMORA,SURAT,بليموره
"CHIKHLI (KHERGAM)",SURAT,"ححيكهلي "
DANDI(MAISAHEBA),SURAT,"داندي مزار "
DEVGARH,SURAT," ديؤ ككرٌهـ "
GANDEVI,SURAT,"  ككنديوي "
JOJ,SURAT,جوج
"PADRA ROAD",SURAT," ثثادرارود "
SANJAN,SURAT,سنجان
SAVLI,SURAT,"ساؤلي "
SILWASA,SURAT,سلواسا
SONGARH,SURAT,سونككرهـ
UMBERGAON,SURAT,عنبرككام
"VALSAD (BALSAR)",SURAT,ولساد
VANSDA,SURAT,وانسدا
VIYARA,SURAT," ويارا"
ZANKHAV,SURAT,"زنكهاؤ "
"EZZY- MOHALLAH (SURAT)",SURAT,"عزي محلة  (سورت)"
"MUFADDAL MOHALLA (UDAIPUR)",TAHERABAD,"مفضل محلة - اديثثور"
BANSWARA,TAHERABAD,وانسواره
"MOAYYEDPURA (UDAIPUR)",TAHERABAD,"مؤيدثثوره - اديثثور"
SAGWARA,TAHERABAD,ساگواره
"BADRI MOHALLA (BANSWARA)",TAHERABAD,"بدري محلة – بانسواره"
DUNGARPUR,TAHERABAD,دونگرپور
"MOHAMMEDIYAH (GALIAKOT)",TAHERABAD,"محمدية (ككلياكوضض )"
"EZZY MOHALLAH (UDAIPUR)",TAHERABAD,"عزي محلة (اديثثور)"
NATHDWARA,TAHERABAD,ناتهدواره
BHINDAR,TAHERABAD,بهيندر
SALUMBAR,TAHERABAD,سلومبر
FATEHNAGAR,TAHERABAD,"فتح نككر"
UDAIPUR,TAHERABAD,اديپور
PARSOLA,TAHERABAD,پارسوله
PARTAPUR,TAHERABAD,پرتاپور
AMET,TAHERABAD,اْميضض
"TAHERABAD (GALIAKOT)",TAHERABAD,"طاهراْباد (ككلياكوضض) "
AJMER,TAHERABAD,اجمير
BHILWARA,TAHERABAD,بهيلواره
KANKROLI,TAHERABAD,كانكرولي
KANORE,TAHERABAD,كانور
BAROLIYA,TAHERABAD,باروليا
BHAADSURA,TAHERABAD,بهادسورا
BHUKIYA,TAHERABAD,بهوكيا
DAROLI,TAHERABAD,دارولي
"FATEHAPURA (UDAIPUR)",TAHERABAD,0
JAIPUR,TAHERABAD,جيثثور
KAPASAN,TAHERABAD,كثثاسن
KHERODA,TAHERABAD,كهيروده
AHMEDABAD,AHMEDABAD,احمداْباد
"QUTBI (AHMEDABAD)",AHMEDABAD,"قطبي محلة  (احمداْباد)"
"FAKHRI MOHALLA (AHMEDABAD)",AHMEDABAD,"فخري محلة  - احمداْباد"
SIDHPUR,AHMEDABAD,سيدهپور
KHAMBAT,AHMEDABAD,كهمبات
PISAWADA,AHMEDABAD,پيساورا
"VATWA (AHMEDABAD)",AHMEDABAD,"وضضوا (احمداْباد)"
KAPADWANJ,AHMEDABAD,كثثرونج
KAUKA,AHMEDABAD,كؤكا
"VIRAMGAM (ALIGRAH)",AHMEDABAD,"عليككرٌهـ  ويرمككام"
BHADREWADI,AHMEDABAD,"بهدرسس وارٌي"
BARWALA,AHMEDABAD,0
UMRETH,AHMEDABAD,امريتهـ
"BURHANI PARK AHMEDABAD VATWA",AHMEDABAD,"برهاني ثثارك (احمداْباد وضضوا)"
DHOLKA,AHMEDABAD,دهولقة
VIRDI,AHMEDABAD,ويردي
TOTANA,AHMEDABAD,0
BALASINOR,AHMEDABAD,بالاسنور
PALANPUR,AHMEDABAD,پالنپور
DHANDUKA,AHMEDABAD,دهندوقة
BADGAON,AHMEDABAD,ورككام
DHANERA,AHMEDABAD,دهانيرا
MANDAR,AHMEDABAD,مدار
RADHANPUR,AHMEDABAD,رادهنپور
SHIA,AHMEDABAD,شيا
GANDHINAGAR,AHMEDABAD,ككاندهينگر
DHINOJ,AHMEDABAD,دهينوج
RUGNATHPURA,AHMEDABAD,0
MEHSANA,AHMEDABAD,مهسانه
PETLAD,AHMEDABAD,ثثيتلاد
"SAMI (QURA SAMANIYAH)",AHMEDABAD,"سمي - قرى ثمانية"
THASRA,AHMEDABAD,تهاسرا
ODHA,AHMEDABAD,"اودها "
"GUJARAT PATAN",AHMEDABAD,"ككجرات ثثاطن"
JASUPURA,AHMEDABAD,0
KARI,AHMEDABAD,كري
KHAKHAL,AHMEDABAD,0
VISNAGAR,AHMEDABAD,ويسنككر
HARIJ,AHMEDABAD,0
MOJPUR,AHMEDABAD,موجثثور
DAKOR,AHMEDABAD,داكور
DEESA,AHMEDABAD,"ديسا "
CHANASMA,AHMEDABAD,Chanasma
CHHAPI,AHMEDABAD,ححهاثثي
DHOLERA,AHMEDABAD,0
KHATANA,AHMEDABAD,"كهتانا "
ONDAL,AHMEDABAD,"اوندل "
SELAVI,AHMEDABAD,selavi
VALPURA,AHMEDABAD,والثثوره
WARID,AHMEDABAD,وارد
BURHANPUR,BURHANPUR,برهانثثور
KHANDWA,BURHANPUR,كهندوه
JALGAON,BURHANPUR,جلگام
BHUSAWAL,BURHANPUR,بهوساول
KHAMGAON,BURHANPUR,"كهام گام"
HARDA,BURHANPUR,هرده
MALKAPUR,BURHANPUR,ملكاپور
SHIRPUR,BURHANPUR,شيرثثور
DHARNI,BURHANPUR,دهارني
PACHORA,BURHANPUR,0
AMALNER,BURHANPUR,املنير
SAVDA,BURHANPUR,ساؤده
MUNDI,BURHANPUR,موندي
"BADGAON (MP)",BURHANPUR,ورككام
BHADGAON,BURHANPUR,بهادككاؤطط
BODWED,BURHANPUR,"بود ويد"
BORADI,BURHANPUR,بورادي
CHARIYA,BURHANPUR,ححاريا
CHIKHLI,BURHANPUR,ححيكهلي
CHOPRA,BURHANPUR,0
DHARANGAON,BURHANPUR,0
ERANDOL,BURHANPUR,0
JAMNER,BURHANPUR,جامنير
JAMOD,BURHANPUR,جامود
JIRVAN,BURHANPUR,Jirvan
KANNOD,BURHANPUR,Kannod
KHIRKIYA,BURHANPUR,كهركيا
KUSUMKOT,BURHANPUR,كوسومكوت
MEHKAR,BURHANPUR,مهكر
PANDHANA,BURHANPUR,ثثندهانه
PAROLA,BURHANPUR,0
RUSTAMPUR,BURHANPUR,Rustampur
YAVAL,BURHANPUR,ياول
KOLKATA,CALCUTTA,كلكته
"SAIFEE MASJID (KOLKATA)",CALCUTTA,0
MUBARKAPUR,CALCUTTA,0
PATNA,CALCUTTA,ثثضضنا
CUTTACK,CALCUTTA,كضضك
ASANSOL,CALCUTTA,اْسنسول
BEHRAMPUR,CALCUTTA,بهرامثثوره
BHUBANESHWAR,CALCUTTA,بهوبنيشور
CHAPRA,CALCUTTA,ححهاثثرا
CHAS,CALCUTTA,ححهاس
DURGAPUR,CALCUTTA,درككاثثور
GAWHATI,CALCUTTA,ككوهاضضي
GOPALGANJ,CALCUTTA,"ككوثثال ككنج"
GORAKPUR,CALCUTTA,ككوركهثثور
JAMSHEDPUR,CALCUTTA,جمشيدثثور
JITNI,CALCUTTA,جتني
MUZAFFARPUR,CALCUTTA,مظفرثثور
NAVANAGAR,CALCUTTA,Navanagar
RANCHI,CALCUTTA,رانححي
SITAMARHI,CALCUTTA,سيتامرٌهي
MUMBRA,"MAROL (SAIFEE PARK)",ممبرا
MAROL,"MAROL (SAIFEE PARK)",مرول
NALASOPARA,"MAROL (SAIFEE PARK)",نالاسوپارا
"VASAI ROAD","MAROL (SAIFEE PARK)","وسائي رود"
SANTACRUZ,"MAROL (SAIFEE PARK)",سانتاكروز
"MIRA ROAD","MAROL (SAIFEE PARK)","ميرا رود"
KURLA,"MAROL (SAIFEE PARK)",كرلا
KANDIVALI,"MAROL (SAIFEE PARK)",كانديولي
BANDRA,"MAROL (SAIFEE PARK)",باندره
BHAYANDAR-WEST,"MAROL (SAIFEE PARK)","بهائندر (ويسضض)"
KALYAN,"MAROL (SAIFEE PARK)",كليان
THANE,"MAROL (SAIFEE PARK)",تهانه
"AMAKIN MOHAMMEDIYAH","MAROL (SAIFEE PARK)","اماكن محمدية (دٌومبيولي)"
PANVEL,"MAROL (SAIFEE PARK)",پنويل
VIRAR,"MAROL (SAIFEE PARK)",ويرار
VASHI,"MAROL (SAIFEE PARK)",واشي
GOREGAON,"MAROL (SAIFEE PARK)","ككورسس ككاؤطط"
MALAD,"MAROL (SAIFEE PARK)",ملاد
KHARGHAR,"MAROL (SAIFEE PARK)","كهارككر "
BHAYANDER-EAST,"MAROL (SAIFEE PARK)","بهائندر ( ايسضض)"
VASIND,"MAROL (SAIFEE PARK)",واسند
BHIWANDI,"MAROL (SAIFEE PARK)",بهيوندي
KHAR,"MAROL (SAIFEE PARK)",كهار
VIKHROLI,"MAROL (SAIFEE PARK)",وكرولي
JOGESHWARI,"MAROL (SAIFEE PARK)",جوگيشوري
PALGARH,"MAROL (SAIFEE PARK)",ثثالككهر
KARJAT,"MAROL (SAIFEE PARK)",كرجت
VERSOVA,"MAROL (SAIFEE PARK)",ورسووا
BORIVALI,"MAROL (SAIFEE PARK)",بوريولي
NERAL,"MAROL (SAIFEE PARK)",نيرل
"DHANU ROAD","MAROL (SAIFEE PARK)","دهانو رود"
KHOPOLI,"MAROL (SAIFEE PARK)",كهثثولي
PEN,"MAROL (SAIFEE PARK)",ثثين
SHAHPUR,"MAROL (SAIFEE PARK)",شاهثثور
MATHERAN,"MAROL (SAIFEE PARK)",ماتهيران
"MOHAMMEDI PARK (KARJAT)","MAROL (SAIFEE PARK)","محمدي ثثارك (كرجضض)"
"MALONI COLONY","MAROL (SAIFEE PARK)","مالوني كولوني – ملاد"
"ALI BAGH","MAROL (SAIFEE PARK)","علي باغ"
"ANDHERI MOGRAPADA","MAROL (SAIFEE PARK)","اندهيري موككراثثاره"
BADLAPUR,"MAROL (SAIFEE PARK)",بدلاثثور
BHANDUP,"MAROL (SAIFEE PARK)",بهاندوثث
BOISAR,"MAROL (SAIFEE PARK)",بوئسر
"BURHANI PARK (NERAL)","MAROL (SAIFEE PARK)","برهاني ثثارك (نيرل)"
GHARDI,"MAROL (SAIFEE PARK)",ككهردي
KALAMBOLI,"MAROL (SAIFEE PARK)",كالمبولي
KAUSA,"MAROL (SAIFEE PARK)","كـؤسا (ممبرا)"
"KELWA MAHIM","MAROL (SAIFEE PARK)","كيلوا ماهم"
KHALAPUR,"MAROL (SAIFEE PARK)",خالاثثور
KINHOLI,"MAROL (SAIFEE PARK)",كنهولي
"MALONI (MALAD)","MAROL (SAIFEE PARK)",0
MANOR,"MAROL (SAIFEE PARK)",منور
"MURUD JANJIRA","MAROL (SAIFEE PARK)","مورودٌ جنجيرا"
NAGOTHANA,"MAROL (SAIFEE PARK)",ناككوتهانه
NERUL,"MAROL (SAIFEE PARK)",نيرول
PARELI,"MAROL (SAIFEE PARK)",ثثريلي
ROHA,"MAROL (SAIFEE PARK)",روحا
URAN,"MAROL (SAIFEE PARK)",اورن
"VASAI GAAM","MAROL (SAIFEE PARK)","وسائي ككام"
"FAKHRI MOHALLA (POONA)",POONA,"فخري محلة  (پونه)"
POONA,POONA,پونه
"SAIFEE MOHALLAH (POONA)",POONA,"سيفي محلة  (ثثونھ)"
"MUFADDAL MOHALLA (POONA)",POONA,"مفضل محلة (ثثونھ)"
"FATEMI MOHALLA (POONA)",POONA,"فاطمي محلة (ثثونھ)"
"KALIMI MOHALLA (POONA)",POONA,"كليمي محلة  - (پونھ)"
KASARWADI,POONA,0
"TAIYEBI MOHALLA (POONA)",POONA,"طيبي محلة  (پونه)  "
HADAPSAR,POONA,0
"KHADKI (POONA)",POONA,"كهركي (ثثونھ)"
LONAVALA,POONA,لوناؤلة
BARAMATI,POONA,بارامتي
AHMEDNAGAR,POONA,"احمد نگر"
KOLHAPUR,POONA,كولهاپور
GOA,POONA,ككووا
BARSI,POONA,بارسي
AKLOOJ,POONA,اكلوج
PANCHGANI,POONA,پنچگني
BIJAPUR,POONA,بيجاثثور
SATARA,POONA,سضضارا
FULTON,POONA,فلضضن
LONAND,POONA,لونند
PANDHARPUR,POONA,ثثندهرثثور
BELGAUM,POONA,بيلككام
TALEGAON,POONA,تليككام
KAMSHET,POONA,كامشيت
VADGAM,POONA,ودككام
KHANDALA,POONA,كهنداله
BHEGWAN,POONA,بهيككوان
PAUNA,POONA,ثثؤنا
SHOLAPUR,POONA,شولاثثور
NEEMUCH,RAMPURA,نيمچ
MANDASAUR,RAMPURA,مندسور
PARTABGARH,RAMPURA,پرتابگرٌهـ
KOTAH,RAMPURA,كوطه
SUNEL,RAMPURA,سنيل
